0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108
Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2017,1,1,23,1,2017-01-23,WN,19393,WN,N728SW,3254,14635,1463502,31714,RSW,Fort Myers; FL,FL,12,Florida,33,13232,1323202,30977,MDW,Chicago; IL,IL,17,Illinois,41,1620,1635,15,15,1,1,1600-1659,11,1646,1828,6,1820,1834,14,14,0,0,1800-1859,0,,0,180,179,162,1,1105,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,29,7,2017-01-29,F9,20436,F9,N223FR,1286,11292,1129202,30325,DEN,Denver; CO,CO,8,Colorado,82,13930,1393004,30977,ORD,Chicago; IL,IL,17,Illinois,41,610,602,-8,0,0,-1,0600-0659,22,624,928,28,954,956,2,2,0,0,0900-0959,0,,0,164,174,124,1,888,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,3,2017-01-04,WN,19393,WN,N781WN,2876,13198,1319801,33198,MCI,Kansas City; MO,MO,29,Missouri,64,11259,1125903,30194,DAL,Dallas; TX,TX,48,Texas,74,2120,2121,1,1,0,0,2100-2159,43,2204,2310,3,2250,2313,23,23,1,1,2200-2259,0,,0,90,112,66,1,460,2,0,0,23,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,3,2017-01-04,F9,20436,F9,N705FR,1262,12889,1288903,32211,LAS,Las Vegas; NV,NV,32,Nevada,85,13930,1393004,30977,ORD,Chicago; IL,IL,17,Illinois,41,2255,102,127,127,1,8,2200-2259,16,118,602,20,438,622,104,104,1,6,0001-0559,0,,0,223,200,164,1,1514,7,104,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,23,1,2017-01-23,OO,20304,OO,N862AS,3132,14794,1479403,34794,SGU,St. George; UT,UT,49,Utah,87,14107,1410702,30466,PHX,Phoenix; AZ,AZ,4,Arizona,81,745,743,-2,0,0,-1,0700-0759,17,800,853,4,902,857,-5,0,0,-1,0900-0959,0,,0,77,74,53,1,262,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,26,4,2017-01-26,WN,19393,WN,N656SW,4039,10397,1039705,30397,ATL,Atlanta; GA,GA,13,Georgia,34,10423,1042302,30423,AUS,Austin; TX,TX,48,Texas,74,1615,1613,-2,0,0,-1,1600-1659,12,1625,1754,13,1750,1807,17,17,1,1,1700-1759,0,,0,155,174,149,1,813,4,0,0,17,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,6,2017-01-07,WN,19393,WN,N7877H,742,13204,1320402,31454,MCO,Orlando; FL,FL,12,Florida,33,11259,1125903,30194,DAL,Dallas; TX,TX,48,Texas,74,1855,2015,80,80,1,5,1800-1859,10,2025,2155,5,2050,2200,70,70,1,4,2000-2059,0,,0,175,165,150,1,973,4,0,0,0,0,70,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,15,7,2017-01-15,DL,19790,DL,N321US,1482,10397,1039705,30397,ATL,Atlanta; GA,GA,13,Georgia,34,14107,1410702,30466,PHX,Phoenix; AZ,AZ,4,Arizona,81,1631,1631,0,0,0,0,1600-1659,19,1650,1820,6,1845,1826,-19,0,0,-2,1800-1859,0,,0,254,235,210,1,1587,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,19,4,2017-01-19,AA,19805,AA,N3GMAA,1080,11298,1129804,30194,DFW,Dallas/Fort Worth; TX,TX,48,Texas,74,12953,1295302,31703,LGA,New York; NY,NY,36,New York,22,915,918,3,3,0,0,0900-0959,22,940,1319,9,1334,1328,-6,0,0,-1,1300-1359,0,,0,199,190,159,1,1389,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,5,2017-01-06,AS,19930,AS,N708AS,715,14869,1486903,34614,SLC,Salt Lake City; UT,UT,49,Utah,87,14057,1405702,34057,PDX,Portland; OR,OR,41,Oregon,92,1955,1944,-11,0,0,-1,1900-1959,13,1957,2032,3,2050,2035,-15,0,0,-1,2000-2059,0,,0,115,111,95,1,630,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,2,2017-01-10,WN,19393,WN,N737JW,9,11259,1125903,30194,DAL,Dallas; TX,TX,48,Texas,74,12191,1219102,31453,HOU,Houston; TX,TX,48,Texas,74,900,859,-1,0,0,-1,0900-0959,18,917,1006,5,1005,1011,6,6,0,0,1000-1059,0,,0,65,72,49,1,239,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,22,7,2017-01-22,EV,20366,EV,N13988,3951,12266,1226603,31453,IAH,Houston; TX,TX,48,Texas,74,13061,1306104,33038,LRD,Laredo; TX,TX,48,Texas,74,2120,2143,23,23,1,1,2100-2159,20,2203,2254,5,2235,2259,24,24,1,1,2200-2259,0,,0,75,76,51,1,301,2,23,0,1,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,13,5,2017-01-13,EV,20366,EV,N11548,4094,11540,1154003,30615,ELP,El Paso; TX,TX,48,Texas,74,12266,1226603,31453,IAH,Houston; TX,TX,48,Texas,74,1725,1712,-13,0,0,-1,1700-1759,11,1723,1957,8,2023,2005,-18,0,0,-2,2000-2059,0,,0,118,113,94,1,667,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,21,6,2017-01-21,WN,19393,WN,N8676A,739,11292,1129202,30325,DEN,Denver; CO,CO,8,Colorado,82,14107,1410702,30466,PHX,Phoenix; AZ,AZ,4,Arizona,81,1235,1306,31,31,1,2,1200-1259,10,1316,1442,7,1430,1449,19,19,1,1,1400-1459,0,,0,115,103,86,1,602,3,0,0,0,0,19,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,6,2017-01-07,HA,19690,HA,N485HA,527,12758,1275803,32758,KOA,Kona; HI,HI,15,Hawaii,2,12173,1217302,32134,HNL,Honolulu; HI,HI,15,Hawaii,2,1027,1020,-7,0,0,-1,1000-1059,7,1027,1055,7,1111,1102,-9,0,0,-1,1100-1159,0,,0,44,42,28,1,163,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,4,2017-01-05,DL,19790,DL,N963DL,1561,14100,1410002,34100,PHL,Philadelphia; PA,PA,42,Pennsylvania,23,10397,1039705,30397,ATL,Atlanta; GA,GA,13,Georgia,34,1350,1346,-4,0,0,-1,1300-1359,11,1357,1541,3,1610,1544,-26,0,0,-2,1600-1659,0,,0,140,118,104,1,666,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,12,4,2017-01-12,WN,19393,WN,N261WN,1250,15370,1537002,34653,TUL,Tulsa; OK,OK,40,Oklahoma,73,14107,1410702,30466,PHX,Phoenix; AZ,AZ,4,Arizona,81,905,955,50,50,1,3,0900-0959,8,1003,1136,9,1045,1145,60,60,1,4,1000-1059,0,,0,160,170,153,1,935,4,50,0,10,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,23,1,2017-01-23,WN,19393,WN,N203WN,334,10821,1082104,30852,BWI,Baltimore; MD,MD,24,Maryland,35,13204,1320402,31454,MCO,Orlando; FL,FL,12,Florida,33,1455,1456,1,1,0,0,1400-1459,14,1510,1700,7,1720,1707,-13,0,0,-1,1700-1759,0,,0,145,131,110,1,787,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,1,2017-01-02,DL,19790,DL,N336NB,1390,14869,1486903,34614,SLC,Salt Lake City; UT,UT,49,Utah,87,10693,1069302,30693,BNA,Nashville; TN,TN,47,Tennessee,54,1735,1806,31,31,1,2,1700-1759,25,1831,2210,3,2151,2213,22,22,1,1,2100-2159,0,,0,196,187,159,1,1404,6,17,0,0,0,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
